Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,505608.000000,505608.000000,0.000000,1,10,1,1,374763.093000,350736.113000,28468.000000,28801.000000,9,1,1,363093.882000,314188.127000,82200.000000,37553.000000,10,0,0,0.000000,0.000000,0.000000,22567.000000,8,0,0,0.000000,0.000000,0.000000,60750.000000,6,1,1,236441.107000,181017.835000,68355.000000,33856.000000,2,0,0,0.000000,0.000000,0.000000,30784.000000,1,1,0,109465.626000,105138.994000,0.000000,42210.000000,3,0,0,0.000000,0.000000,0.000000,21061.000000,2,0,0,0.000000,0.000000,0.000000,24051.000000,0,0,0,0.000000,0.000000,0.000000,24952.000000
2,470192.000000,487900.000000,1.000000,1,9,1,1,420897.132000,350736.113000,84423.000000,31128.000000,10,1,0,313189.125000,304194.490000,0.000000,31182.000000,8,1,0,297273.062000,270002.023000,0.000000,24351.000000,1,1,1,261223.977000,237903.089000,28590.000000,25705.000000,7,1,1,258520.730000,197960.212000,95221.000000,29385.000000,8,1,0,139346.839000,129716.271000,0.000000,12469.000000,2,0,0,0.000000,0.000000,0.000000,49857.000000,3,0,0,0.000000,0.000000,0.000000,14251.000000,7,0,0,0.000000,0.000000,0.000000,28438.000000,5,0,0,0.000000,0.000000,0.000000,15192.000000
3,527474.000000,501091.333333,0.000000,1,4,1,1,400327.511000,350736.113000,60494.000000,36195.000000,5,1,1,334591.345000,309018.400000,31146.000000,26865.000000,2,1,1,349723.856000,274025.744000,132674.000000,10329.000000,2,0,0,0.000000,0.000000,0.000000,40221.000000,1,1,0,151550.876000,150332.697000,0.000000,33451.000000,0,0,0,0.000000,0.000000,0.000000,29597.000000,9,0,0,0.000000,0.000000,0.000000,45647.000000,10,1,1,71603.619000,59134.065000,21693.000000,20677.000000,9,0,0,0.000000,0.000000,0.000000,24466.000000,5,0,0,0.000000,0.000000,0.000000,14019.000000
4,497090.000000,500091.000000,1.000000,1,5,1,1,376237.602000,350736.113000,31146.000000,31584.000000,6,1,1,368680.614000,313845.646000,69659.000000,32956.000000,3,1,1,312938.361000,263736.616000,92126.000000,39921.000000,3,0,0,0.000000,0.000000,0.000000,39687.000000,5,0,0,0.000000,0.000000,0.000000,32907.000000,1,1,0,127306.078000,119000.350000,0.000000,16549.000000,5,0,0,0.000000,0.000000,0.000000,20928.000000,9,0,0,0.000000,0.000000,0.000000,9270.000000,6,0,0,0.000000,0.000000,0.000000,30206.000000,10,1,1,40049.951000,23526.112000,21070.000000,29081.000000
5,479837.000000,496040.200000,0.000000,1,2,1,1,487541.358000,350736.113000,165374.000000,44841.000000,3,1,0,309713.514000,284148.030000,0.000000,39005.000000,10,1,0,255668.965000,246971.814000,0.000000,29650.000000,1,1,0,226468.462000,216891.101000,0.000000,43065.000000,9,0,0,0.000000,0.000000,0.000000,23390.000000,5,0,0,0.000000,0.000000,0.000000,34603.000000,1,1,0,122530.064000,111813.140000,0.000000,16949.000000,3,0,0,0.000000,0.000000,0.000000,36628.000000,3,0,0,0.000000,0.000000,0.000000,34901.000000,3,0,0,0.000000,0.000000,0.000000,11431.000000
6,474367.000000,492428.000000,0.000000,1,4,1,1,400327.511000,350736.113000,60494.000000,36962.000000,6,1,0,329685.933000,309647.484000,0.000000,35740.000000,5,1,1,300789.279000,275204.653000,32219.000000,19859.000000,3,1,1,293814.687000,236503.485000,106754.000000,54156.000000,4,0,0,0.000000,0.000000,0.000000,16890.000000,9,0,0,0.000000,0.000000,0.000000,21442.000000,3,0,0,0.000000,0.000000,0.000000,27901.000000,2,0,0,0.000000,0.000000,0.000000,27875.000000,4,0,0,0.000000,0.000000,0.000000,13326.000000,6,0,0,0.000000,0.000000,0.000000,20749.000000
7,541046.000000,499373.428571,1.000000,1,0,0,0,0.000000,0.000000,0.000000,17033.000000,4,1,1,372581.605000,320385.773000,60494.000000,53117.000000,9,1,1,341520.909000,270217.685000,84423.000000,36802.000000,6,1,0,234801.923000,222079.862000,0.000000,26430.000000,2,1,1,241940.970000,194140.841000,122474.000000,28516.000000,10,1,0,96437.420000,96061.834000,0.000000,39248.000000,7,0,0,0.000000,0.000000,0.000000,33847.000000,3,0,0,0.000000,0.000000,0.000000,25692.000000,0,0,0,0.000000,0.000000,0.000000,2649.000000,5,0,0,0.000000,0.000000,0.000000,10321.000000
8,433277.000000,491111.375000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,13587.000000,10,1,1,345379.708000,320260.364000,28468.000000,47505.000000,9,1,1,311587.534000,269479.570000,61851.000000,44429.000000,0,0,0,0.000000,0.000000,0.000000,60888.000000,1,1,1,202480.197000,180870.985000,27296.000000,17158.000000,7,0,0,0.000000,0.000000,0.000000,30072.000000,3,0,0,0.000000,0.000000,0.000000,16667.000000,10,0,0,0.000000,0.000000,0.000000,6882.000000,0,0,0,0.000000,0.000000,0.000000,22939.000000,3,0,0,0.000000,0.000000,0.000000,55535.000000
9,471812.000000,488967.000000,0.000000,1,8,1,1,410932.795000,350736.113000,76294.000000,52691.000000,4,1,1,346944.325000,299902.385000,60494.000000,31662.000000,0,0,0,0.000000,0.000000,0.000000,28084.000000,4,1,0,240363.049000,221982.878000,0.000000,46942.000000,2,0,0,0.000000,0.000000,0.000000,43296.000000,4,0,0,0.000000,0.000000,0.000000,19310.000000,9,0,0,0.000000,0.000000,0.000000,20148.000000,2,0,0,0.000000,0.000000,0.000000,54127.000000,1,0,0,0.000000,0.000000,0.000000,21081.000000,6,0,0,0.000000,0.000000,0.000000,17683.000000
10,456292.000000,485699.500000,0.000000,1,6,1,1,403194.151000,350736.113000,68355.000000,26354.000000,5,1,1,332239.200000,306067.763000,31639.000000,53499.000000,4,1,0,269162.439000,252291.975000,0.000000,41566.000000,3,0,0,0.000000,0.000000,0.000000,30616.000000,3,0,0,0.000000,0.000000,0.000000,48323.000000,1,1,0,154698.871000,146287.402000,0.000000,27516.000000,6,1,0,129998.200000,119157.007000,0.000000,33714.000000,2,0,0,0.000000,0.000000,0.000000,16007.000000,5,0,0,0.000000,0.000000,0.000000,39811.000000,6,0,0,0.000000,0.000000,0.000000,38892.000000
