Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,498562.000000,498562.000000,0.000000,1,5,1,1,366204.369000,354387.344000,12067.000000,19235.000000,10,1,1,390382.290000,317307.414000,82314.000000,28023.000000,1,1,1,288914.235000,277253.728000,13385.000000,32512.000000,3,1,1,286630.642000,238620.704000,54216.000000,36345.000000,8,1,1,226937.488000,197286.009000,39515.000000,33222.000000,0,0,0,0.000000,0.000000,0.000000,29310.000000,2,1,1,137809.993000,116473.096000,36504.000000,15512.000000,6,1,1,81938.741000,76153.667000,9663.000000,24979.000000,6,0,0,0.000000,0.000000,0.000000,20068.000000,1,0,0,0.000000,0.000000,0.000000,11692.000000
2,532940.000000,515751.000000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,41018.000000,0,0,0,0.000000,0.000000,0.000000,58231.000000,2,1,1,344758.576000,284613.037000,64559.000000,26784.000000,7,1,1,277032.593000,245282.812000,39115.000000,39587.000000,4,1,1,212225.103000,198309.964000,20098.000000,55386.000000,1,1,1,152806.735000,150527.087000,9659.000000,44303.000000,4,0,0,0.000000,0.000000,0.000000,26753.000000,7,0,0,0.000000,0.000000,0.000000,28298.000000,10,0,0,0.000000,0.000000,0.000000,37316.000000,10,0,0,0.000000,0.000000,0.000000,41833.000000
3,446457.000000,492653.000000,1.000000,1,4,1,1,385488.962000,354387.344000,32526.000000,38309.000000,8,1,1,362879.316000,315561.198000,50835.000000,31214.000000,4,1,1,289155.740000,277605.879000,18820.000000,34073.000000,4,1,1,239844.089000,234505.612000,18820.000000,50908.000000,0,0,0,0.000000,0.000000,0.000000,28447.000000,0,0,0,0.000000,0.000000,0.000000,22382.000000,6,1,1,116732.901000,113584.944000,6015.000000,25636.000000,0,0,0,0.000000,0.000000,0.000000,37346.000000,5,0,0,0.000000,0.000000,0.000000,25048.000000,1,0,0,0.000000,0.000000,0.000000,26078.000000
4,550353.000000,507078.000000,0.000000,1,1,1,1,370921.162000,354387.344000,17231.000000,31385.000000,4,1,1,341720.413000,317190.535000,27830.000000,51967.000000,3,1,1,346349.917000,282437.943000,76512.000000,46049.000000,10,1,1,267493.334000,225098.651000,55084.000000,28483.000000,8,1,1,204001.602000,180967.662000,34987.000000,29442.000000,5,0,0,0.000000,0.000000,0.000000,28672.000000,4,0,0,0.000000,0.000000,0.000000,27379.000000,3,0,0,0.000000,0.000000,0.000000,28787.000000,10,0,0,0.000000,0.000000,0.000000,42754.000000,0,0,0,0.000000,0.000000,0.000000,23791.000000
5,514593.000000,508581.000000,1.000000,1,0,0,0,0.000000,0.000000,0.000000,21838.000000,3,1,1,393555.806000,317454.917000,78912.000000,33483.000000,3,1,1,331581.171000,282151.477000,54216.000000,38090.000000,1,1,1,258634.466000,241664.244000,17231.000000,34613.000000,6,1,1,212066.805000,202798.590000,9663.000000,39166.000000,0,0,0,0.000000,0.000000,0.000000,41192.000000,0,0,0,0.000000,0.000000,0.000000,13233.000000,7,1,1,123742.563000,100145.835000,30943.000000,28787.000000,1,1,1,64249.984000,60260.156000,11582.000000,30414.000000,2,0,0,0.000000,0.000000,0.000000,31230.000000
6,456527.000000,499905.333333,0.000000,1,5,1,1,366204.369000,354387.344000,12067.000000,29731.000000,4,1,1,342919.941000,317281.334000,27830.000000,32718.000000,9,1,1,291575.597000,281974.502000,12618.000000,39451.000000,1,1,1,246932.589000,241902.469000,11582.000000,39703.000000,9,1,0,195902.233000,196563.424000,0.000000,47933.000000,0,0,0,0.000000,0.000000,0.000000,30308.000000,8,0,0,0.000000,0.000000,0.000000,32368.000000,10,0,0,0.000000,0.000000,0.000000,36419.000000,6,0,0,0.000000,0.000000,0.000000,23410.000000,3,1,1,78044.357000,27341.306000,51816.000000,28573.000000
7,570667.000000,510014.142857,1.000000,1,0,0,0,0.000000,0.000000,0.000000,57945.000000,3,1,1,389074.389000,317432.321000,76512.000000,49830.000000,0,0,0,0.000000,0.000000,0.000000,31738.000000,2,1,1,288429.196000,244705.045000,50759.000000,33373.000000,9,1,1,209177.499000,197969.928000,14373.000000,38690.000000,3,1,1,196532.224000,163746.863000,39676.000000,37519.000000,10,1,1,133670.006000,120701.652000,57454.000000,36978.000000,8,0,0,0.000000,0.000000,0.000000,32105.000000,9,0,0,0.000000,0.000000,0.000000,11030.000000,4,0,0,0.000000,0.000000,0.000000,2685.000000
8,573933.000000,518004.000000,0.000000,1,5,1,1,366204.369000,354387.344000,12067.000000,55659.000000,10,1,1,382397.754000,316959.122000,75594.000000,45635.000000,10,1,1,321944.476000,275748.647000,61014.000000,47194.000000,5,1,0,222481.891000,223249.710000,0.000000,41498.000000,3,1,1,207578.113000,183792.484000,29964.000000,40050.000000,0,0,0,0.000000,0.000000,0.000000,43703.000000,7,1,1,105055.463000,95902.159000,22735.000000,18328.000000,7,0,0,0.000000,0.000000,0.000000,23729.000000,4,0,0,0.000000,0.000000,0.000000,30636.000000,9,0,0,0.000000,0.000000,0.000000,26127.000000
9,497020.000000,515672.444444,0.000000,1,10,1,1,433091.882000,354387.344000,82314.000000,27263.000000,10,1,1,369958.856000,314713.334000,64374.000000,50855.000000,1,1,1,276421.032000,268223.942000,14026.000000,29514.000000,4,1,1,235280.618000,228874.980000,17646.000000,38495.000000,10,1,1,185511.696000,176922.852000,57454.000000,21389.000000,10,0,0,0.000000,0.000000,0.000000,20086.000000,4,0,0,0.000000,0.000000,0.000000,19048.000000,7,0,0,0.000000,0.000000,0.000000,15595.000000,6,0,0,0.000000,0.000000,0.000000,23644.000000,1,0,0,0.000000,0.000000,0.000000,15317.000000
10,519073.000000,516012.500000,1.000000,1,2,1,1,417785.887000,354387.344000,64559.000000,34514.000000,6,1,1,326966.037000,316505.151000,13851.000000,38272.000000,4,1,1,299586.263000,280506.061000,23724.000000,30946.000000,9,1,1,246394.328000,243076.163000,10782.000000,34166.000000,8,1,1,236940.812000,201389.247000,50771.000000,19869.000000,10,0,0,0.000000,0.000000,0.000000,27394.000000,6,0,0,0.000000,0.000000,0.000000,41996.000000,6,0,0,0.000000,0.000000,0.000000,31480.000000,3,1,1,100035.200000,61131.122000,53080.000000,26361.000000,7,0,0,0.000000,0.000000,0.000000,17308.000000
