Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,521580.000000,521580.000000,1.000000,1,2,1,1,523762.713000,369062.678000,174249.000000,36593.000000,7,1,1,321533.543000,313493.571000,20820.000000,25275.000000,1,1,1,279708.031000,269210.887000,25287.000000,37489.000000,10,0,0,0.000000,0.000000,0.000000,25620.000000,6,0,0,0.000000,0.000000,0.000000,47982.000000,3,0,0,0.000000,0.000000,0.000000,37833.000000,2,0,0,0.000000,0.000000,0.000000,28165.000000,0,0,0,0.000000,0.000000,0.000000,22288.000000,5,0,0,0.000000,0.000000,0.000000,24938.000000,10,0,0,0.000000,0.000000,0.000000,15041.000000
2,502461.000000,512020.500000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,25535.000000,8,1,1,417411.539000,332248.797000,96266.000000,39860.000000,9,1,1,295999.253000,284622.266000,42556.000000,37314.000000,7,1,0,216009.621000,221113.053000,0.000000,41608.000000,5,0,0,0.000000,0.000000,0.000000,27129.000000,9,0,0,0.000000,0.000000,0.000000,28037.000000,10,0,0,0.000000,0.000000,0.000000,31626.000000,1,1,1,126221.509000,86761.457000,40332.000000,31252.000000,6,0,0,0.000000,0.000000,0.000000,29822.000000,1,0,0,0.000000,0.000000,0.000000,31124.000000
3,578699.000000,534246.666667,0.000000,1,8,1,1,451617.774000,369062.678000,96266.000000,64550.000000,8,1,0,318157.369000,312525.834000,0.000000,57704.000000,6,1,1,325893.014000,265830.774000,69228.000000,32988.000000,4,1,1,236473.357000,222610.841000,44716.000000,39083.000000,8,0,0,0.000000,0.000000,0.000000,53768.000000,10,0,0,0.000000,0.000000,0.000000,31570.000000,0,0,0,0.000000,0.000000,0.000000,32251.000000,3,0,0,0.000000,0.000000,0.000000,22982.000000,9,0,0,0.000000,0.000000,0.000000,20093.000000,6,0,0,0.000000,0.000000,0.000000,13500.000000
4,550027.000000,538191.750000,1.000000,1,0,0,0,0.000000,0.000000,0.000000,41894.000000,0,0,0,0.000000,0.000000,0.000000,56184.000000,7,1,1,323085.268000,296139.399000,31312.000000,37736.000000,2,1,1,365738.990000,254598.827000,153399.000000,45132.000000,10,0,0,0.000000,0.000000,0.000000,45278.000000,8,0,0,0.000000,0.000000,0.000000,19405.000000,1,1,1,127178.790000,111378.071000,28278.000000,22694.000000,5,0,0,0.000000,0.000000,0.000000,26635.000000,2,0,0,0.000000,0.000000,0.000000,31985.000000,2,0,0,0.000000,0.000000,0.000000,10095.000000
5,532658.000000,537085.000000,0.000000,1,1,1,1,403004.018000,369062.678000,38958.000000,36815.000000,10,1,1,387874.966000,325426.076000,70453.000000,56571.000000,4,1,1,306416.241000,280526.792000,45786.000000,23303.000000,10,1,1,249983.285000,231312.451000,51217.000000,24184.000000,10,0,0,0.000000,0.000000,0.000000,52016.000000,3,0,0,0.000000,0.000000,0.000000,27743.000000,10,0,0,0.000000,0.000000,0.000000,38913.000000,7,0,0,0.000000,0.000000,0.000000,23430.000000,6,0,0,0.000000,0.000000,0.000000,19368.000000,1,0,0,0.000000,0.000000,0.000000,23901.000000
6,514925.000000,533391.666667,1.000000,1,10,1,1,429487.311000,369062.678000,69445.000000,39842.000000,3,1,1,370193.043000,324948.908000,76907.000000,24241.000000,7,1,0,261277.705000,264147.850000,0.000000,42309.000000,0,0,0,0.000000,0.000000,0.000000,27378.000000,4,1,1,236095.182000,197178.248000,52298.000000,26080.000000,5,0,0,0.000000,0.000000,0.000000,50472.000000,9,0,0,0.000000,0.000000,0.000000,39466.000000,7,0,0,0.000000,0.000000,0.000000,30420.000000,10,0,0,0.000000,0.000000,0.000000,20943.000000,6,0,0,0.000000,0.000000,0.000000,15124.000000
7,526259.000000,532372.714286,0.000000,1,0,0,0,0.000000,0.000000,0.000000,42729.000000,5,1,1,386988.589000,332217.858000,61760.000000,45313.000000,8,1,1,320319.527000,288532.218000,71270.000000,32102.000000,3,0,0,0.000000,0.000000,0.000000,40639.000000,0,0,0,0.000000,0.000000,0.000000,32620.000000,8,0,0,0.000000,0.000000,0.000000,38888.000000,7,0,0,0.000000,0.000000,0.000000,27554.000000,3,0,0,0.000000,0.000000,0.000000,30609.000000,6,1,1,117563.756000,52351.315000,66458.000000,17450.000000,1,0,0,0.000000,0.000000,0.000000,18867.000000
8,472715.000000,524915.500000,0.000000,1,4,1,1,422965.477000,369062.678000,59732.000000,32808.000000,7,1,1,355919.351000,325972.689000,33359.000000,20676.000000,5,1,1,321311.448000,288725.091000,49168.000000,22943.000000,0,0,0,0.000000,0.000000,0.000000,25444.000000,5,0,0,0.000000,0.000000,0.000000,42364.000000,8,0,0,0.000000,0.000000,0.000000,33470.000000,0,0,0,0.000000,0.000000,0.000000,41084.000000,8,0,0,0.000000,0.000000,0.000000,24028.000000,1,1,1,89802.154000,64239.285000,28854.000000,27251.000000,0,0,0,0.000000,0.000000,0.000000,31534.000000
9,563319.000000,529182.555556,1.000000,1,0,0,0,0.000000,0.000000,0.000000,15331.000000,1,1,1,367885.492000,332266.001000,39645.000000,43776.000000,0,0,0,0.000000,0.000000,0.000000,41242.000000,8,1,1,338457.557000,254229.304000,96266.000000,52188.000000,2,1,1,258111.539000,202363.827000,114609.000000,25673.000000,9,0,0,0.000000,0.000000,0.000000,30688.000000,1,0,0,0.000000,0.000000,0.000000,27272.000000,5,0,0,0.000000,0.000000,0.000000,32357.000000,0,0,0,0.000000,0.000000,0.000000,26085.000000,9,0,0,0.000000,0.000000,0.000000,18187.000000
10,455106.000000,521774.900000,0.000000,1,9,1,1,421487.862000,369062.678000,59104.000000,34586.000000,0,0,0,0.000000,0.000000,0.000000,29503.000000,8,1,1,327835.889000,290106.357000,74540.000000,38386.000000,9,0,0,0.000000,0.000000,0.000000,39371.000000,0,0,0,0.000000,0.000000,0.000000,34631.000000,5,0,0,0.000000,0.000000,0.000000,24697.000000,3,0,0,0.000000,0.000000,0.000000,33763.000000,10,0,0,0.000000,0.000000,0.000000,35683.000000,8,0,0,0.000000,0.000000,0.000000,29139.000000,3,0,0,0.000000,0.000000,0.000000,21703.000000
