Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,464096.000000,464096.000000,1.000000,1,7,1,1,399625.892000,359076.412000,43666.000000,19633.000000,2,1,1,373053.940000,324343.980000,64130.000000,27345.000000,0,0,0,0.000000,0.000000,0.000000,25514.000000,10,1,1,254138.507000,236563.274000,21722.000000,42179.000000,9,1,1,222564.389000,197190.376000,26773.000000,28377.000000,2,1,1,197261.951000,165377.665000,47935.000000,25789.000000,0,0,0,0.000000,0.000000,0.000000,29541.000000,7,1,1,93549.146000,80734.485000,24934.000000,18270.000000,2,0,0,0.000000,0.000000,0.000000,9910.000000,5,0,0,0.000000,0.000000,0.000000,8378.000000
2,500598.000000,482347.000000,0.000000,1,5,1,1,417554.597000,359076.412000,66507.000000,24975.000000,8,1,1,354986.985000,320842.253000,41646.000000,20974.000000,9,1,1,300167.157000,279487.870000,33841.000000,27559.000000,1,1,1,247805.506000,232887.441000,15742.000000,39424.000000,2,1,1,220494.642000,191071.678000,50810.000000,16438.000000,9,1,1,149876.986000,140905.254000,22012.000000,58939.000000,8,0,0,0.000000,0.000000,0.000000,20483.000000,3,0,0,0.000000,0.000000,0.000000,21480.000000,6,0,0,0.000000,0.000000,0.000000,23656.000000,0,0,0,0.000000,0.000000,0.000000,16112.000000
3,528449.000000,497714.333333,1.000000,1,0,0,0,0.000000,0.000000,0.000000,10273.000000,0,0,0,0.000000,0.000000,0.000000,24711.000000,5,1,1,350660.228000,288825.848000,66507.000000,31562.000000,9,1,1,274964.719000,249520.061000,35608.000000,41249.000000,2,1,1,250332.704000,205783.507000,50455.000000,51170.000000,2,1,1,197935.771000,165368.214000,55925.000000,38754.000000,9,1,1,119068.809000,106757.830000,21526.000000,24717.000000,6,0,0,0.000000,0.000000,0.000000,28013.000000,10,1,1,54981.326000,42621.142000,16718.000000,19206.000000,8,0,0,0.000000,0.000000,0.000000,12055.000000
4,494609.000000,496938.000000,0.000000,1,6,1,1,415185.443000,359076.412000,62083.000000,23165.000000,8,1,1,356307.187000,322058.209000,41646.000000,29859.000000,10,1,1,294923.662000,277209.683000,30768.000000,28748.000000,0,0,0,0.000000,0.000000,0.000000,46254.000000,7,1,1,206988.996000,190288.853000,27330.000000,56829.000000,2,0,0,0.000000,0.000000,0.000000,23365.000000,9,1,1,117508.072000,108295.066000,29044.000000,12767.000000,7,0,0,0.000000,0.000000,0.000000,32983.000000,0,0,0,0.000000,0.000000,0.000000,22374.000000,0,0,0,0.000000,0.000000,0.000000,27394.000000
5,451118.000000,487774.000000,0.000000,1,4,1,1,392225.576000,359076.412000,37472.000000,34794.000000,8,1,1,368993.693000,324092.183000,57706.000000,61051.000000,7,0,0,0.000000,0.000000,0.000000,21621.000000,5,0,0,0.000000,0.000000,0.000000,15860.000000,9,1,1,219962.063000,192961.917000,30757.000000,23859.000000,0,0,0,0.000000,0.000000,0.000000,41255.000000,1,1,1,138531.548000,124593.826000,15742.000000,18091.000000,4,0,0,0.000000,0.000000,0.000000,38681.000000,0,0,0,0.000000,0.000000,0.000000,34734.000000,2,0,0,0.000000,0.000000,0.000000,19495.000000
6,517057.000000,492654.500000,1.000000,1,4,1,1,392225.576000,359076.412000,37472.000000,23622.000000,8,1,1,371950.611000,324204.076000,57706.000000,41680.000000,3,1,1,311078.953000,278152.432000,46159.000000,27411.000000,9,1,1,255014.116000,234206.861000,33841.000000,38268.000000,0,0,0,0.000000,0.000000,0.000000,16629.000000,5,1,1,173227.365000,151609.768000,38807.000000,53600.000000,2,0,0,0.000000,0.000000,0.000000,31119.000000,5,0,0,0.000000,0.000000,0.000000,24554.000000,9,0,0,0.000000,0.000000,0.000000,24996.000000,8,0,0,0.000000,0.000000,0.000000,21193.000000
7,474900.000000,490118.142857,0.000000,1,10,1,1,387990.410000,359076.412000,32138.000000,27211.000000,0,0,0,0.000000,0.000000,0.000000,41766.000000,3,1,1,335297.250000,285554.443000,59779.000000,35986.000000,2,1,1,285356.800000,241721.333000,53685.000000,38814.000000,0,0,0,0.000000,0.000000,0.000000,22867.000000,5,0,0,0.000000,0.000000,0.000000,26377.000000,9,1,1,146408.144000,123938.170000,33841.000000,17722.000000,3,0,0,0.000000,0.000000,0.000000,30799.000000,5,0,0,0.000000,0.000000,0.000000,17755.000000,2,0,0,0.000000,0.000000,0.000000,36160.000000
8,551844.000000,497833.875000,1.000000,1,9,1,1,395296.233000,359076.412000,39592.000000,60673.000000,10,1,1,347894.043000,318501.189000,32138.000000,63900.000000,5,1,1,305576.003000,268857.365000,46139.000000,55706.000000,3,1,1,233425.545000,218073.318000,37279.000000,54211.000000,4,1,1,158269.434000,144208.181000,27228.000000,39807.000000,5,0,0,0.000000,0.000000,0.000000,17085.000000,0,0,0,0.000000,0.000000,0.000000,18384.000000,8,0,0,0.000000,0.000000,0.000000,17168.000000,1,1,1,44915.045000,32917.592000,15139.000000,20884.000000,3,0,0,0.000000,0.000000,0.000000,6511.000000
9,504945.000000,498624.000000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,30369.000000,4,1,1,360455.010000,325635.891000,37472.000000,38007.000000,5,1,1,332785.672000,277770.996000,64147.000000,33006.000000,9,1,1,260862.522000,232466.690000,35608.000000,30315.000000,4,1,1,213756.500000,196220.280000,25900.000000,20338.000000,0,0,0,0.000000,0.000000,0.000000,33610.000000,2,1,1,155801.472000,125034.535000,47580.000000,17741.000000,1,0,0,0.000000,0.000000,0.000000,43684.000000,2,0,0,0.000000,0.000000,0.000000,20792.000000,8,0,0,0.000000,0.000000,0.000000,26376.000000
10,527646.000000,501526.200000,0.000000,1,8,1,1,413444.443000,359076.412000,60342.000000,34947.000000,1,1,1,333063.052000,320130.397000,15139.000000,43818.000000,0,0,0,0.000000,0.000000,0.000000,10246.000000,10,1,1,264302.131000,245094.917000,21722.000000,43814.000000,1,1,1,213432.013000,206192.830000,10940.000000,58145.000000,3,1,1,186886.982000,155483.666000,43579.000000,39564.000000,4,1,1,118831.959000,105171.325000,24732.000000,27881.000000,5,0,0,0.000000,0.000000,0.000000,21582.000000,8,0,0,0.000000,0.000000,0.000000,50287.000000,3,0,0,0.000000,0.000000,0.000000,20908.000000
